Source,Target,Weight
N191,N69,1
N45,N5,1
N45,N3,1
N215,N5,1
N236,N5,1
N404,N5,2
N404,N7,2
N166,N167,1
N166,N168,1
N274,N5,1
N409,N5,1
N94,N13,1
N94,N5,1
N94,N10,1
N290,N5,1
N353,N349,1
N437,N5,1
N437,N3,1
N225,N69,1
N426,N147,1
N147,N146,1
N147,N149,1
N147,N148,1
N436,N98,1
N436,N422,1
N436,N5,1
N436,N4,1
N37,N39,1
N37,N38,1
N70,N71,1
N338,N5,1
N11,N5,1
N200,N69,1
N158,N5,1
N158,N50,1
N365,N13,1
N365,N5,1
N87,N88,1
N87,N73,1
N87,N13,1
N87,N5,2
N87,N34,2
N87,N89,1
N87,N93,1
N87,N90,1
N87,N91,1
N87,N4,2
N87,N92,1
N214,N5,1
N214,N28,1
N314,N316,1
N314,N315,1
N314,N5,1
N314,N34,1
N163,N5,1
N163,N4,1
N62,N5,1
N62,N7,1
N25,N5,1
N25,N7,1
N228,N69,1
N78,N73,1
N78,N5,1
N78,N34,1
N78,N7,1
N86,N5,1
N86,N7,1
N145,N147,1
N145,N146,1
N145,N150,1
N145,N149,1
N145,N148,1
N182,N69,1
N359,N5,1
N442,N13,1
N442,N5,1
N288,N181,1
N288,N97,1
N288,N5,1
N288,N152,1
N288,N180,1
N63,N5,1
N100,N5,1
N209,N69,1
N410,N409,1
N410,N5,1
N207,N208,1
N252,N5,1
N378,N380,1
N378,N5,1
N378,N379,1
N107,N5,2
N107,N3,1
N107,N7,2
N107,N384,1
N391,N181,2
N391,N5,2
N391,N60,2
N66,N67,1
N66,N65,1
N330,N331,1
N262,N264,1
N262,N263,1
N262,N5,1
N262,N160,1
N363,N5,1
N116,N117,1
N39,N38,1
N387,N388,1
N387,N5,1
N387,N152,1
N387,N3,1
N387,N60,1
N175,N5,2
N175,N34,1
N175,N176,1
N175,N177,1
N198,N199,1
N206,N5,4
N254,N5,1
N255,N256,1
N315,N316,1
N315,N34,1
N317,N5,1
N172,N170,1
N6,N5,1
N6,N7,1
N186,N13,1
N186,N5,1
N133,N134,1
N341,N342,1
N341,N5,2
N341,N34,1
N341,N4,1
N264,N263,1
N264,N160,1
N405,N13,1
N405,N5,1
N405,N406,1
N263,N160,1
N300,N301,1
N300,N303,1
N300,N302,1
N301,N303,1
N301,N302,1
N88,N353,1
N88,N73,1
N88,N345,1
N88,N13,1
N88,N5,2
N88,N34,2
N88,N354,1
N88,N346,1
N88,N352,1
N88,N89,1
N88,N355,1
N88,N93,1
N88,N90,1
N88,N351,1
N88,N347,1
N88,N348,1
N88,N91,1
N88,N349,1
N88,N4,1
N88,N357,1
N88,N356,1
N88,N350,1
N88,N92,1
N281,N13,1
N416,N423,1
N416,N422,1
N181,N36,1
N97,N181,9
N97,N5,9
N97,N152,9
N97,N3,1
N97,N180,9
N97,N440,1
N98,N97,1
N98,N3,1
N257,N152,1
N388,N152,1
N388,N3,1
N388,N60,1
N134,N435,1
N134,N149,1
N73,N13,1
N73,N5,2
N73,N3,1
N73,N34,3
N73,N89,1
N73,N93,1
N73,N90,1
N73,N91,1
N73,N4,2
N73,N92,1
N422,N423,1
N422,N98,1
N402,N400,1
N402,N399,1
N19,N20,1
N19,N21,1
N135,N69,1
N227,N69,1
N276,N65,1
N296,N152,1
N345,N353,1
N345,N349,1
N104,N65,1
N368,N99,1
N368,N5,1
N368,N10,1
N368,N50,1
N244,N5,1
N139,N69,1
N57,N5,1
N57,N58,1
N24,N23,1
N24,N5,1
N13,N181,1
N13,N5,1
N13,N3,8
N13,N113,1
N13,N50,1
N13,N406,1
N312,N311,1
N5,N353,1
N5,N426,1
N5,N147,1
N5,N316,1
N5,N16,2
N5,N315,1
N5,N133,1
N5,N264,1
N5,N263,1
N5,N342,1
N5,N281,1
N5,N416,2
N5,N423,1
N5,N181,13
N5,N97,3
N5,N98,2
N5,N388,1
N5,N134,2
N5,N433,1
N5,N73,1
N5,N422,2
N5,N84,2
N5,N402,1
N5,N19,1
N5,N345,1
N5,N380,1
N5,N23,1
N5,N99,4
N5,N13,27
N5,N152,10
N5,N3,24
N5,N397,1
N5,N150,1
N5,N103,1
N5,N34,16
N5,N361,1
N5,N340,1
N5,N346,1
N5,N379,1
N5,N352,1
N5,N435,2
N5,N320,1
N5,N321,1
N5,N89,1
N5,N83,1
N5,N82,1
N5,N60,6
N5,N20,1
N5,N27,1
N5,N355,1
N5,N93,1
N5,N259,1
N5,N260,1
N5,N176,4
N5,N90,1
N5,N36,1
N5,N10,2
N5,N50,6
N5,N386,2
N5,N396,1
N5,N177,1
N5,N28,3
N5,N149,2
N5,N400,1
N5,N406,1
N5,N348,1
N5,N195,1
N5,N21,1
N5,N91,1
N5,N349,1
N5,N17,1
N5,N413,1
N5,N376,1
N5,N160,2
N5,N384,1
N5,N15,2
N5,N394,1
N5,N122,1
N5,N399,1
N5,N4,11
N5,N357,1
N5,N444,1
N5,N440,1
N5,N356,1
N5,N58,1
N5,N350,1
N5,N92,1
N5,N42,1
N280,N281,1
N280,N13,1
N280,N5,1
N280,N150,1
N280,N50,1
N246,N52,1
N152,N181,9
N3,N13,1
N3,N152,1
N3,N60,1
N3,N4,1
N397,N361,1
N397,N396,1
N185,N5,1
N318,N5,1
N441,N5,1
N179,N181,1
N179,N97,1
N179,N5,1
N179,N152,1
N179,N180,1
N382,N181,1
N382,N13,13
N382,N5,13
N382,N3,8
N382,N7,13
N382,N383,1
N41,N5,1
N41,N7,1
N41,N42,1
N295,N10,1
N74,N73,1
N74,N5,1
N74,N3,1
N74,N34,1
N74,N4,1
N150,N147,1
N150,N281,1
N150,N146,1
N150,N13,1
N150,N149,1
N150,N148,1
N398,N402,1
N398,N5,1
N398,N400,1
N398,N401,1
N398,N399,1
N222,N223,1
N238,N239,1
N124,N69,1
N34,N353,1
N34,N316,1
N34,N342,1
N34,N97,1
N34,N84,1
N34,N345,1
N34,N13,1
N34,N3,1
N34,N346,1
N34,N89,1
N34,N82,1
N34,N355,1
N34,N93,1
N34,N90,1
N34,N177,1
N34,N348,1
N34,N91,1
N34,N349,1
N34,N4,2
N34,N356,1
N34,N350,1
N34,N92,1
N171,N69,1
N438,N5,1
N438,N60,1
N354,N353,1
N354,N345,1
N354,N5,1
N354,N34,1
N354,N346,1
N354,N352,1
N354,N355,1
N354,N347,1
N354,N348,1
N354,N349,1
N354,N357,1
N354,N356,1
N354,N350,1
N346,N353,1
N346,N345,1
N346,N348,1
N346,N349,1
N346,N356,1
N343,N5,1
N343,N162,1
N379,N380,1
N419,N426,1
N419,N147,1
N419,N5,2
N419,N383,1
N352,N353,1
N352,N345,1
N352,N34,1
N352,N346,1
N352,N355,1
N352,N348,1
N352,N349,1
N352,N357,1
N352,N356,1
N352,N350,1
N435,N149,1
N435,N444,1
N64,N65,1
N299,N300,1
N299,N301,1
N299,N303,1
N299,N302,1
N212,N69,1
N167,N168,1
N174,N69,1
N46,N5,2
N46,N7,2
N219,N69,1
N32,N5,1
N321,N320,1
N420,N5,1
N327,N5,1
N111,N181,1
N111,N97,1
N111,N5,1
N111,N152,1
N111,N180,1
N111,N52,1
N231,N5,1
N197,N5,1
N156,N157,1
N226,N69,1
N128,N65,1
N230,N69,1
N35,N5,1
N35,N36,1
N285,N286,1
N210,N65,1
N319,N5,1
N319,N320,1
N319,N321,1
N367,N361,1
N108,N69,1
N89,N13,1
N89,N91,1
N89,N4,1
N89,N92,1
N85,N5,1
N85,N7,1
N221,N52,1
N385,N5,1
N385,N7,1
N385,N27,1
N385,N386,1
N326,N5,1
N375,N5,1
N375,N377,1
N375,N376,1
N273,N5,1
N80,N65,1
N48,N5,1
N48,N34,1
N180,N181,9
N180,N5,9
N180,N152,9
N7,N133,1
N7,N281,1
N7,N181,2
N7,N134,2
N7,N433,1
N7,N73,1
N7,N84,2
N7,N99,2
N7,N13,18
N7,N5,66
N7,N280,1
N7,N3,10
N7,N150,1
N7,N103,1
N7,N34,3
N7,N340,1
N7,N419,1
N7,N435,1
N7,N83,1
N7,N82,1
N7,N60,1
N7,N27,1
N7,N36,1
N7,N50,2
N7,N386,2
N7,N28,1
N7,N149,2
N7,N160,1
N7,N383,2
N7,N384,1
N7,N4,1
N7,N42,1
N7,N418,1
N83,N84,1
N83,N34,1
N83,N82,1
N82,N84,1
N60,N181,2
N60,N152,1
N60,N3,1
N20,N21,1
N27,N13,1
N27,N5,1
N27,N113,1
N412,N5,2
N412,N176,1
N412,N413,1
N417,N5,1
N417,N419,1
N417,N7,1
N417,N383,1
N417,N418,1
N203,N69,1
N203,N204,1
N12,N13,1
N12,N5,1
N12,N3,1
N155,N69,3
N287,N5,1
N194,N5,1
N194,N195,1
N43,N44,1
N184,N181,1
N184,N97,1
N184,N5,2
N184,N152,1
N184,N180,1
N424,N13,1
N424,N5,1
N424,N7,1
N275,N5,2
N337,N13,1
N337,N5,1
N337,N7,1
N183,N5,1
N183,N184,1
N366,N5,1
N372,N181,1
N372,N5,1
N372,N7,1
N372,N36,1
N395,N5,1
N395,N397,1
N395,N361,1
N395,N10,1
N395,N396,1
N395,N394,1
N59,N5,1
N59,N3,1
N59,N60,1
N59,N61,1
N248,N65,1
N224,N69,1
N72,N73,1
N72,N5,1
N72,N3,1
N72,N74,1
N72,N34,1
N72,N4,1
N141,N65,1
N355,N353,1
N355,N345,1
N355,N346,1
N355,N348,1
N355,N349,1
N355,N356,1
N217,N69,1
N40,N39,1
N93,N13,1
N93,N89,1
N93,N90,1
N93,N91,1
N93,N4,1
N93,N92,1
N51,N52,1
N234,N5,1
N282,N5,1
N26,N5,1
N26,N27,1
N26,N28,1
N292,N5,1
N360,N361,1
N242,N243,1
N96,N97,1
N96,N98,1
N96,N5,1
N96,N3,1
N241,N181,1
N241,N97,1
N241,N5,1
N241,N152,1
N241,N180,1
N259,N13,1
N260,N13,1
N260,N259,1
N271,N272,1
N261,N13,1
N261,N5,1
N261,N259,1
N261,N260,1
N49,N5,1
N49,N50,1
N49,N28,1
N190,N69,1
N176,N13,1
N176,N34,1
N176,N50,1
N176,N177,1
N176,N413,1
N258,N13,1
N258,N5,1
N258,N259,1
N258,N260,1
N258,N261,1
N67,N65,2
N164,N5,1
N90,N13,1
N90,N89,1
N90,N91,1
N90,N4,1
N90,N92,1
N218,N69,1
N269,N270,2
N137,N138,1
N351,N353,1
N351,N345,1
N351,N5,1
N351,N34,1
N351,N354,1
N351,N346,1
N351,N352,1
N351,N355,1
N351,N347,1
N351,N348,1
N351,N349,1
N351,N357,1
