Id,Label,Weight
N0,橙汁儿陈,1.0
N1,我是京京读书,1.0
N2,椰子小姐2018,3.0
N3,人民网,86.0
N4,紫光阁,56.0
N5,人民日报,548.0
N6,不期盼的时光或许刚刚好,2.0
N7,央视新闻,202.0
N8,鱼丸小乖,2.0
N9,本庐,2.0
N10,教育部,19.0
N11,Double木166,1.0
N12,安折陆,3.0
N13,人民教育出版社微博,109.0
N14,生活让我们学会长大,7.0
N15,燕赵都市报,7.0
N16,一点资讯河北,7.0
N17,河北日报,4.0
N18,青汁汁汁汁汁汁汁,4.0
N19,中新经纬,4.0
N20,央视财经,4.0
N21,每日经济新闻,4.0
N22,河南叶孤城,3.0
N23,人民出版社,3.0
N24,人民大会堂,3.0
N25,MenG萌子酱,2.0
N26,庐山璀璨Veg家的温泉民宿,3.0
N27,头条新闻,10.0
N28,新浪新闻,14.0
N29,荷田田yy,3.0
N30,知乎,3.0
N31,申典启,2.0
N32,叶籽子0710,1.0
N33,芃翰麻麻,2.0
N34,共青团中央,77.0
N35,喵喵企鹅的夏天,2.0
N36,教育局,6.0
N37,Cello98722,2.0
N38,美丽的日子dimash,2.0
N39,o咪朵儿,3.0
N40,希希美丽的神话,1.0
N41,你猜我叫什么00000,3.0
N42,陕西发布,3.0
N43,寵愛花好月圆,1.0
N44,大国小警,1.0
N45,-歪原来是美楠啊,2.0
N46,变态辣年糕-,4.0
N47,英语是什么啊,1.0
N48,天明蕊乄,2.0
N49,微微贝加尔湖畔,3.0
N50,新华社,38.0
N51,平安古蔺,1.0
N52,海客新闻,5.0
N53,超级爱大蒜,2.0
N54,潇洒诗言志,1.0
N55,雪落银河,1.0
N56,我的超哥1978,4.0
N57,亟兮般若,4.0
N58,郑依心,3.0
N59,小锦鲤一帆风顺,4.0
N60,央视网,23.0
N61,红星新闻,4.0
N62,MOROSCA,2.0
N63,X默默奋斗着X,1.0
N64,华夏古德里安上将,1.0
N65,武力统一,12.0
N66,hong倩倩,2.0
N67,心中那一抹微光T,3.0
N68,随心无所谓69Z,1.0
N69,新浪军事,45.0
N70,Che_to,1.0
N71,奈奈孤单心事,2.0
N72,屁颠_橙Kevin,6.0
N73,中国长安网,21.0
N74,光明日报,6.0
N75,看看而已66,1.0
N76,林西棠,1.0
N77,桃子味芬达·,1.0
N78,PAC0001,4.0
N79,璀璨河北,2.0
N80,大麒麒王子2011,1.0
N81,聚齐七只猪召唤神之猪,6.0
N82,央视社会与法,6.0
N83,央视新闻调查,6.0
N84,中央人民广播电台,10.0
N85,大a的明天,2.0
N86,Rickie安,2.0
N87,JWWJ6,14.0
N88,中国反邪教,28.0
N89,夜离ing,11.0
N90,思想火炬,11.0
N91,求是,11.0
N92,钧正平,11.0
N93,平安北京,11.0
N94,Amy爱开播,3.0
N95,杂学僧,33.0
N96,很喜欢谷爱凌,4.0
